imdb_id,tmdb_id,title,logline,no_seasons,no_episodes,runtime_per_episode,runtime,imdb_rating,content_type,meta_score,rt_rating,trailer_link,image_link,discovery_mode,in_set,primary_mode,topic_one,on_netflix,on_hbo,on_amazon_prime,on_hulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5491994,68595,Planet Earth II,David Attenborough explores how animals meet the challenges of surviving in the most iconic habitats on earth,1,5,60,300,9.6,Series,,,https://youtu.be/3TfxHdVhz0M,https://image.tmdb.org/t/p/w700_and_h392_bestv2//xIt4DDYipMPNu2HDBrhUS4ndSYb.jpg,,1,Relax and unwind,Science & Nature,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt6792200,26101,The Keepers,Examine the decades-old murder of Sister Catherine Cesnik and its suspected link to a priest accused of abuse.,1,7,62,434,8.4,Series,,,https://youtu.be/Khr7dbuBjuE,https://image.tmdb.org/t/p/w700_and_h392_bestv2//ckk04w9FYAm54jEfrjnTigvEtQR.jpg,,1,Explore the mystery,Crime,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5189670,64439,Making a Murderer,"Filmed over 10 years, this real-life thriller follows a DNA exoneree who, while exposing police corruption, becomes a suspect in a grisly new crime.",1,9,60,540,8.7,Series,,,https://youtu.be/qxgbdYaR_KQ,https://image.tmdb.org/t/p/w700_and_h392_bestv2//clmdHJpw3NuUCZveyTTwB83wmRH.jpg,,1,Explore the mystery,Crime,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt6333104,71373,Hot Girls Wanted: Turned On,"Porn has gone mainstream; the question is, can we handle it?",1,6,46,276,6.8,Series,,,https://youtu.be/WbV7MRBWlk8,https://image.tmdb.org/t/p/w700_and_h392_bestv2//jbrFPhGdcQxGSvgajLHJfKw0wjb.jpg,,1,Broaden your perspective,How others live,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2395695,58474,Cosmos: A Spacetime Odyssey,See the grandeur of the universe,1,13,60,780,9.3,Series,,,https://youtu.be/XFF2ECZ8m1A,https://image.tmdb.org/t/p/w700_and_h392_bestv2//3s5WCyBjceeVUAOXPvSQMalaS4Z.jpg,,1,Relax and unwind,Science & Nature,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt0795176,1044,Planet Earth,Celebrate the amazing variety of the natural world in this epic series filmed over four years across 64 different countries.,2,17,60,1020,9.5,Series,,,https://youtu.be/tiVNk6_0GdY,https://image.tmdb.org/t/p/w700_and_h392_bestv2//4AJnC8L5CXdqb6tMeUBL5jdHfuG.jpg,,1,Relax and unwind,Science & Nature,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt6958022,72141,The Defiant Ones,Jimmy Iovine and Dr. Dre's improbable partnership and transformed contemporary culture.,1,3,90,270,9,Series,,,https://youtu.be/-aJp5WFAV7g,https://image.tmdb.org/t/p/w700_and_h392_bestv2//8K1GMQTRDXxLjMANVoZIfncb89l.jpg,,1,Get informed / learn something,Music,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt0383126,1428,MythBusters,"A science entertainment television program using elements of the scientific method to test the validity of rumors, myths, movie scenes, adages, Internet videos, and news stories.",14,258,43,11094,8.3,Series,,,,https://image.tmdb.org/t/p/w700_and_h392_bestv2//yuN2y7tI1F33jaAEYf5arICFD4y.jpg,,1,Get informed / learn something,Science & Nature,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1408430,31677,30 for 30,"The most interesting stories in sports history, most of which have gone under the radar",3,85,60,5100,8.9,Series,,,,https://image.tmdb.org/t/p/w700_and_h392_bestv2//pIDARk32l9iHoEDj4XUdHbSCvMe.jpg,,1,Broaden your perspective,Sports,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2845786,56305,Anthony Bourdain: Parts Unknown,"Bourdain travels across the globe to uncover little-known areas of the world and celebrate diverse cultures by exploring food and dining rituals. Known for his curiosity, candor, and acerbic wit, Bourdain takes viewers off the beaten path of tourist destinations â€“ including some war-torn parts of the world â€“ and meets with a variety of local citizens to offer a window into their lifestyles, and occasionally communes with an internationally lauded chef on his journeys.",9,72,45,3240,8.6,Series,,,https://youtu.be/3Dva3l0ll8Y,https://image.tmdb.org/t/p/w700_and_h392_bestv2//jrvC0mftWHRYFDUWQ1af0Q1YjZ.jpg,,1,Broaden your perspective,Food & Travel,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
